State,District,Latitude,Longitude,Population in 2001,Population in 2011
Andhra Pradesh,Anantapur,14.312065561843147,77.46015844785771,3640478,4081148
Andhra Pradesh,Chittoor,13.331092630676961,78.92763898886038,3745875,4174064
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,4901420,5154296
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4465144,4887813
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4187841,4517398
Andhra Pradesh,Kurnool,15.437597151424288,77.90086836581717,3529494,4053463
Andhra Pradesh,Prakasam,15.489039001601705,80.11665790176184,3059423,3397448
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010676,2537593,2703114
Andhra Pradesh,Vizianagaram,18.283296960329718,83.45982854198874,2249254,2344474
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3803517,3936966
Arunachal Pradesh,Changlang,27.360484793388448,96.37552644628107,125422,148226
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,57179,78690
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,87397,99214
Arunachal Pradesh,Kurung Kumey,28.048533518005534,93.24531994459835,42518,92076
Arunachal Pradesh,Lohit,27.946785273972626,96.59670770547943,124991,145726
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,50448,54080
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,55726,83030
Arunachal Pradesh,Papum Pare,27.27352971698113,93.54468183962265,122003,176573
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,38924,49977
Arunachal Pradesh,Tirap,26.944062295081984,95.41470327868862,100326,111975
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,33363,35320
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.89914356223179,55346,83448
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,74599,83947
Arunachal Pradesh,West Siang,28.106296920289846,94.53510344202907,103918,112274
Assam,Barpeta,26.427872264631056,90.97912010178116,1394755,1693622
Assam,Bongaigaon,26.45012521994133,90.67342961876841,612665,738804
Assam,Cachar,24.815570668693017,92.86849650455929,1444921,1736617
Assam,Darrang,26.584632159624423,92.04141338028157,759858,928500
Assam,Dhemaji,27.58653343848582,94.71336908517351,571944,686133
Assam,Dibrugarh,27.30612284482757,95.0998282327587,1185072,1326335
Assam,Goalpara,26.01727777777781,90.59869891598913,822035,1008183
Assam,Golaghat,26.377219709794485,93.8258339782347,946279,1066888
Assam,Hailakandi,24.45749608938549,92.59154664804475,542872,659296
Assam,Jorhat,26.76244824016563,94.30197722567287,999221,1092256
Assam,Kamrup,26.17093945205481,91.58863273972591,1311698,1517542
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,813311,956313
Assam,Karimganj,24.69660712250711,92.3679498575498,1007976,1228686
Assam,Kokrajhar,26.49724663573087,90.13997470997688,843243,887142
Assam,Lakhimpur,27.14128805970149,94.0775949253732,889010,1042137
Assam,Nagaon,26.264621706263515,92.9306191144708,2314629,2823768
Assam,Nalbari,26.46323767605632,91.40598521126765,689053,771639
Assam,Sonitpur,26.73514926829268,92.85197804878044,1665125,1924110
Assam,Tinsukia,27.535492911392414,95.69055949367085,1150062,1327929
Bihar,Araria,26.211528119180606,87.30766554934816,2158608,2811569
Bihar,Aurangabad,24.774291867469874,84.45986024096379,2013055,2540073
Bihar,Banka,24.832355642023334,86.8664916342413,1608773,2034763
Bihar,Begusarai,25.54302613168723,86.1256014403293,2349366,2970541
Bihar,Bhagalpur,25.277192885375477,87.04213814229243,2423172,3037766
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2243144,2728407
Bihar,Buxar,25.485930188679237,84.08808081760995,1402396,1706352
Bihar,Darbhanga,26.146187719298254,85.97387352472099,3295789,3937385
Bihar,Gaya,24.726654154727804,84.94291217765044,3473428,4391418
Bihar,Gopalganj,26.448743641618513,84.34636127167629,2152638,2562012
Bihar,Jamui,24.78418380462726,86.26316298200514,1398796,1760405
Bihar,Jehanabad,25.15567904564316,84.9208124481328,926191,1125313
Bihar,Katihar,25.565653560371512,87.70466083591326,2392638,3071029
Bihar,Khagaria,25.535588914549642,86.56593256351037,1280354,1666886
Bihar,Kishanganj,26.324336758321294,87.95045007235886,1296348,1690400
Bihar,Lakhisarai,25.183449321266966,86.1282570135747,802225,1000912
Bihar,Madhepura,25.77341929460581,86.8978443983403,1526646,2001762
Bihar,Madhubani,26.413805381727162,86.16328360450552,3575281,4487379
Bihar,Munger,25.198537962962966,86.54173672839504,1137797,1367765
Bihar,Muzaffarpur,26.186644171779147,85.32745092024544,3746714,4801062
Bihar,Nalanda,25.229345508982053,85.48053113772461,2370528,2877653
Bihar,Nawada,24.825708836206907,85.61594568965519,1809696,2219146
Bihar,Patna,25.40297114503818,85.31984335877871,4718592,5838465
Bihar,Purnia,25.81714801901739,87.40447606973066,2543942,3264619
Bihar,Rohtas,24.99170460829495,83.93507626728109,2464243,2959918
Bihar,Saharsa,25.821270696721307,86.54670819672134,1508182,1900661
Bihar,Samastipur,25.793205563909765,85.94833323308269,3394793,4261566
Bihar,Saran,25.89656077844312,84.82266287425155,3248701,3951862
Bihar,Sheikhpura,25.12472436548223,85.77839390862944,525502,636342
Bihar,Sheohar,26.45838074866311,85.29539411764709,515961,656246
Bihar,Sitamarhi,26.565700696864127,85.61172491289203,2682720,3423574
Bihar,Siwan,26.1736372013652,84.33766552901022,2714349,3330464
Bihar,Supaul,26.281578937728963,86.78496465201462,1732578,2229076
Bihar,Vaishali,25.813470318021196,85.39247597173153,2718421,3495021
Chandigarh,Chandigarh,30.7426,76.75872465753423,900635,1055450
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1198067,1413199
Chhattisgarh,Bilaspur,22.356942982456147,81.99770350877188,1998355,2663629
